edge,n_iso,n_blocks,has_dupl,n_categories,majority_category,singleton,cat_entropy,n_nodes,min_length,max_length,mean_length,n_all_cores,core_left_length,core_right_length,transitive,nonempty_acc_len,nonempty_freq,tot_acc_len
HUTOPWFGVH_f__WJBYSSJHSE_f,222,5,False,3,218,False,0.10035413613342482,11,18176,18953,18189.108108108107,218,16280.0,1698.0,False,727.5,0.018018018018018018,1488
IZQZNHJQRQ_f__ZVPGGEJIIF_f,222,3,False,2,221,True,0.028830728559561508,5,11739,12516,11742.5,221,1529.0,10210.0,False,777.0,0.0045045045045045045,777
JNLRGIQXOF_f__YQUHGDANHE_f,222,3,False,2,221,True,0.028830728559561508,5,27949,29386,27955.472972972973,221,23708.0,4241.0,False,1437.0,0.0045045045045045045,1437
JMOMDSHCBS_r__SPDPCYMYDN_r,222,3,False,2,220,False,0.051396505482011766,5,7364,8141,7371.0,220,2780.0,4584.0,False,777.0,0.009009009009009009,777
JKRDVEYDGL_f__OTPJRRWJRK_f,222,3,False,2,221,True,0.028830728559561508,5,10056,48231,10227.95945945946,221,7295.0,2761.0,False,38175.0,0.0045045045045045045,38175
JJRRWBDVGH_f__TFKJQKVUKX_f,222,26,True,70,30,False,3.4516835490458986,2035,19236,28378,25497.067567567567,0,13033.0,5085.0,False,7379.0675675675675,1.0,8641
JJDDCMJGQE_r__ZUHGCANVTN_r,222,5,False,4,218,False,0.10895567894821959,19,19806,20583,19820.0,218,7419.0,11878.0,False,777.0,0.018018018018018018,777
JJDDCMJGQE_f__PJYKOTQZCQ_f,222,4,False,3,220,False,0.057641074676245505,11,10532,11308,10538.990990990991,220,7418.0,2677.0,False,776.0,0.009009009009009009,776
JHJVGMLICW_f__QHIDYNXVPV_f,222,3,False,2,221,True,0.028830728559561508,5,2643,3420,2646.5,221,1793.0,850.0,False,777.0,0.0045045045045045045,777
JFSHRUDEUI_r__YWYSIZWCPS_r,222,3,False,2,221,True,0.028830728559561508,5,10615,13623,10628.549549549549,221,9458.0,1157.0,False,3008.0,0.0045045045045045045,3008
JFSHRUDEUI_f__KKOJCLVXES_f,222,3,False,2,221,True,0.028830728559561508,5,28144,66279,28315.77927927928,221,9452.0,18692.0,False,38135.0,0.0045045045045045045,38135
